
C:\Users\Ellizar\OneDrive\Documents\Drazille\SMC-WebAssist\SMC-WebAssist>cd c:\Users\Ellizar\

c:\Users\Ellizar>ssh -R smc:80:localhost:8080 serveo.net
Forwarding HTTP traffic from https://smc.serveo.net
HTTP request from 138.84.120.186 to https://smc.serveo.net/smc-webassist/home
HTTP request from 138.84.120.186 to https://smc.serveo.net/bootstrap/bootstrap-5.0.2/dist/css/bootstrap.min.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/css/stylesheet.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/inquire2.png
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/feedback2.png
HTTP request from 138.84.120.186 to https://smc.serveo.net/js/script.js
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/review.gif
HTTP request from 138.84.120.186 to https://smc.serveo.net/bootstrap/bootstrap-5.0.2/dist/js/bootstrap.min.js
HTTP request from 138.84.120.186 to https://smc.serveo.net/checkCookie
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/smcLogo.ico
HTTP request from 138.84.120.186 to https://smc.serveo.net/smc-webassist/signin
HTTP request from 138.84.120.186 to https://smc.serveo.net/bootstrap/bootstrap-5.0.2/dist/css/bootstrap.min.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/css/stylesheet.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/smcLogo.png
HTTP request from 138.84.120.186 to https://smc.serveo.net/js/signin.js
HTTP request from 138.84.120.186 to https://smc.serveo.net/bootstrap/bootstrap-5.0.2/dist/js/bootstrap.min.js
HTTP request from 138.84.120.186 to https://smc.serveo.net/smc-webassist/login
HTTP request from 138.84.120.186 to https://smc.serveo.net/smc-webassist/login
HTTP request from 138.84.120.186 to https://smc.serveo.net/smc-webassist/home
HTTP request from 138.84.120.186 to https://smc.serveo.net/bootstrap/bootstrap-5.0.2/dist/css/bootstrap.min.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/css/stylesheet.css
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/inquire2.png
HTTP request from 138.84.120.186 to https://smc.serveo.net/img/feedback2.png
HTTP request from 138.84.120.186 to https://smc.serveo.net/js/script.js
